Symbol
ADRO
AKRA
ANTM
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRPT
BSDE
BTPS
CPIN
CTRA
ERAA
EXCL
GGRM
HMSP
ICBP
INCO
INDF
INDY
INKP
INTP
ITMG
JPFA
JSMR
KLBF
LPPF
MEDC
MNCN
PGAS
PTBA
PTPP
PWON
SCMA
SMGR
SRIL
TKIM
TLKM
TPIA
UNTR
UNVR
WIKA
WSKT
